,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
6127,23.78,23.829999999999995,0.17,54.0,1.241467576791809,0.3299999999999999,-1.11,31.1,-1.04,27.9,1,cooler,5.0
6129,22.739999999999995,23.07,0.17,54.0,1.0428327645051196,0.42,-1.6,56.1,-1.45,48.2,1,no change,6.0
6140,21.63,22.1,0.1,54.0,1.3407849829351537,0.45,-1.06,28.7,-0.99,25.9,0,warmer,3.0
6141,22.27,22.55,0.13,54.0,1.0924914675767918,0.65,-0.81,18.8,-0.69,15.0,0,warmer,3.0
6145,22.09,21.91,0.21,53.0,1.241467576791809,0.36,-1.8,66.9,-1.71,62.2,0,warmer,2.0
6146,22.31,22.329999999999995,0.19,53.0,1.3656996587030714,0.37,-1.33,41.9,-1.3,40.3,1,no change,5.0
6147,22.93,23.32,0.1,49.0,1.261262798634812,0.3399999999999999,-1.11,30.9,-1.01,26.4,1,no change,4.0
6150,23.71,24.13,0.18,45.0,1.1918088737201364,0.38,-1.03,27.4,-0.96,24.5,1,no change,6.0
6155,23.31,23.66,0.1,46.0,1.117235494880546,0.32,-1.26,38.4,-1.26,38.4,1,no change,5.0
6163,23.62,23.98,0.11,53.0,1.0924914675767918,0.41,-0.92,22.9,-0.75,16.8,1,no change,6.0
6166,23.34,23.469999999999995,0.1,52.0,1.1421501706484645,0.4300000000000001,-0.87,20.9,-0.71,15.7,0,warmer,4.0
6168,23.76,23.95,0.19,51.0,1.1421501706484645,0.31,-1.41,46.1,-1.31,40.6,1,no change,6.0
6180,24.37,24.42,0.13,40.0,1.0924914675767918,0.36,-1.01,26.6,-0.86,20.5,1,cooler,3.0
6201,22.98999999999999,23.22,0.14,44.0,1.241467576791809,0.29,-1.49,50.4,-1.4,45.3,0,cooler,3.0
6211,22.78,22.95,0.12,46.0,1.1421501706484645,0.48,-1.03,27.2,-0.9,22.0,1,no change,5.0
6216,23.239999999999995,23.44,0.17,43.0,1.241467576791809,0.3299999999999999,-1.36,43.6,-1.29,39.8,1,no change,6.0
6225,23.25,23.48999999999999,0.13,42.0,1.1918088737201364,0.41,-1.0,26.3,-0.9,22.3,1,cooler,3.0
6228,22.19,22.42,0.18,44.0,1.4897610921501698,0.3299999999999999,-1.27,38.9,-1.29,39.8,0,no change,3.0
6230,21.4,21.37,0.21,46.0,1.261262798634812,0.76,-0.81,18.9,-0.8,18.3,1,no change,4.0
6236,20.36,19.21,0.23,48.0,1.589078498293515,0.44,-1.53,52.6,-1.54,53.1,0,warmer,5.0
6246,22.239999999999995,22.1,0.16,49.0,1.440102389078498,0.5,-0.82,19.3,-0.85,20.2,1,no change,5.0
6247,21.85,22.079999999999995,0.11,49.0,1.7380546075085324,0.3299999999999999,-0.86,20.5,-0.98,25.3,1,no change,5.0
6250,20.98999999999999,21.39,0.14,51.0,1.241467576791809,0.54,-1.32,41.4,-1.24,37.4,0,warmer,3.0
6251,22.16,22.579999999999995,0.15,46.0,1.261262798634812,0.36,-1.5,51.1,-1.42,46.8,1,no change,5.0
6252,21.46,21.44,0.13,48.0,1.1918088737201364,0.48,-1.39,45.0,-1.29,39.5,0,warmer,3.0
6273,22.93,23.15,0.13,47.0,1.0428327645051196,0.51,-1.15,32.7,-0.98,25.5,1,warmer,5.0
6277,23.3,23.63,0.1,48.0,1.0428327645051196,0.29,-1.53,52.4,-1.53,52.4,1,no change,6.0
6278,23.3,23.39,0.1,48.0,1.261262798634812,0.29,-1.18,34.4,-1.07,29.3,0,cooler,4.0
6281,22.91,23.22,0.1,49.0,1.0924914675767918,0.4900000000000001,-0.95,24.0,-0.95,24.0,1,no change,6.0
6285,22.95,22.96,0.1,49.0,1.1918088737201364,0.46,-0.86,20.5,-0.73,16.3,1,no change,5.0
6301,23.66,23.77,0.12,48.0,1.117235494880546,0.36,-1.12,31.3,-0.97,24.7,1,no change,5.0
6309,22.69,22.82,0.17,44.0,1.261262798634812,0.35,-1.46,48.7,-1.39,44.9,0,warmer,5.0
6323,23.69,23.93,0.1,42.0,1.1421501706484645,0.29,-1.21,35.9,-1.05,28.3,1,no change,5.0
6330,22.87,22.93,0.1,38.0,1.440102389078498,0.3299999999999999,-0.99,25.6,-0.96,24.6,1,no change,5.0
6335,22.71,23.010000000000005,0.13,37.0,1.4897610921501698,0.37,-0.91,22.3,-0.94,23.5,1,no change,4.0
6339,24.03,24.1,0.1,35.0,1.0677474402730378,0.35,-1.13,31.8,-1.13,31.8,1,no change,6.0
6347,22.66,22.81,0.1,36.0,1.261262798634812,0.36,-1.25,37.9,-1.15,32.8,1,no change,5.0
6353,22.43,22.77,0.1,59.0,1.241467576791809,0.36,-1.2,35.5,-1.09,30.2,0,warmer,3.0
6355,22.4,23.010000000000005,0.1,59.0,1.5394197952218427,0.2800000000000001,-0.97,25.0,-0.99,25.9,1,no change,6.0
6362,23.26,23.81,0.11,56.0,1.440102389078498,0.24,-1.0,25.9,-0.98,25.2,1,no change,5.0
6363,21.77,22.2,0.11,62.0,1.241467576791809,0.27,-1.77,65.2,-1.66,59.5,0,warmer,3.0
6366,22.63,22.91,0.1,58.0,1.0924914675767918,0.35,-1.41,46.1,-1.41,46.1,1,no change,6.0
6376,23.73,23.93,0.14,46.0,1.1918088737201364,0.25,-1.38,44.5,-1.27,38.5,1,no change,5.0
6378,23.86,24.42,0.2800000000000001,51.0,1.2911262798634808,0.29,-1.34,42.1,-1.32,41.3,1,cooler,5.0
6379,24.34,24.48,0.12,56.0,1.0428327645051196,0.25,-1.33,41.8,-1.33,41.8,1,no change,6.0
6386,22.670000000000005,23.02,0.1,47.0,1.390443686006826,0.26,-1.26,38.2,-1.2,35.4,1,warmer,5.0
6387,22.9,23.09,0.12,50.0,1.390443686006826,0.3000000000000001,-1.12,31.4,-1.08,29.7,1,no change,6.0
6388,22.42,22.63,0.11,51.0,1.3407849829351537,0.29,-1.36,43.4,-1.29,39.6,1,no change,4.0
6389,21.94,21.92,0.12,50.0,1.5394197952218427,0.3000000000000001,-1.23,36.9,-1.24,37.0,1,cooler,3.0
6392,23.170000000000005,23.510000000000005,0.1,47.0,1.117235494880546,0.3399999999999999,-1.25,37.6,-1.25,37.6,0,warmer,3.0
6394,22.82,23.469999999999995,0.13,60.0,1.3209897610921502,0.24,-1.38,44.7,-1.31,40.9,1,warmer,5.0
6397,22.43,23.15,0.13,66.0,1.440102389078498,0.32,-1.01,26.7,-1.0,26.3,1,no change,5.0
6399,23.16,23.29,0.12,61.0,1.241467576791809,0.38,-0.98,25.2,-0.88,21.4,1,no change,4.0
6401,22.61,23.09,0.17,67.0,1.4897610921501698,0.3399999999999999,-0.94,23.5,-0.97,25.0,1,no change,5.0
6403,23.26,23.73,0.11,62.0,1.0924914675767918,0.39,-1.03,27.5,-0.86,20.7,1,no change,5.0
6405,22.84,23.21,0.1,63.0,1.241467576791809,0.41,-0.89,21.7,-0.78,18.0,1,no change,5.0
6406,23.21,23.79,0.15,61.0,1.241467576791809,0.29,-1.28,39.4,-1.2,35.1,1,no change,6.0
6412,23.2,23.72,0.14,61.0,1.390443686006826,0.25,-1.13,31.9,-1.1,30.5,1,no change,4.0
6413,23.41,23.46,0.12,60.0,1.241467576791809,0.3299999999999999,-1.06,28.6,-0.96,24.3,1,no change,5.0
6414,23.16,23.14,0.13,60.0,1.0428327645051196,0.3399999999999999,-1.56,54.0,-1.38,44.4,1,no change,5.0
6423,22.52,22.73,0.13,62.0,1.3209897610921502,0.3299999999999999,-1.23,36.9,-1.17,33.7,0,warmer,3.0
6425,22.8,23.1,0.1,61.0,1.0428327645051196,0.29,-1.65,58.9,-1.65,58.9,1,no change,5.0
6426,22.63,22.9,0.1,62.0,1.1918088737201364,0.3399999999999999,-1.2,35.5,-1.07,29.2,0,warmer,4.0
6427,22.26,22.66,0.17,62.0,1.3209897610921502,0.4,-1.19,34.7,-1.15,32.6,1,warmer,3.0
6432,22.79,22.9,0.19,58.0,1.390443686006826,0.3399999999999999,-1.18,34.1,-1.16,33.4,1,cooler,6.0
6433,23.05,23.31,0.1,58.0,1.390443686006826,0.25,-1.11,31.0,-1.06,28.5,1,no change,5.0
6437,22.41,22.82,0.22,62.0,1.589078498293515,0.29,-1.15,32.6,-1.21,36.0,1,no change,6.0
6439,22.5,22.61,0.12,58.0,1.241467576791809,0.35,-1.32,41.6,-1.22,36.3,0,warmer,3.0
6440,23.07,23.25,0.12,60.0,1.3407849829351537,0.3000000000000001,-1.09,29.9,-1.03,27.3,1,no change,5.0
6446,24.079999999999995,24.37,0.53,53.0,1.3656996587030714,0.38,-1.14,32.3,-1.22,36.5,0,warmer,3.0
6450,23.469999999999995,23.55,0.16,55.0,1.3407849829351537,0.35,-0.94,23.8,-0.92,22.7,1,cooler,3.0
6451,23.73,23.9,0.16,54.0,1.2911262798634808,0.3299999999999999,-0.99,25.8,-0.94,23.8,0,cooler,3.0
6457,22.35,22.44,0.1,48.0,1.3656996587030714,0.35,-1.15,33.0,-1.09,30.1,0,warmer,2.0
6460,22.32,22.5,0.12,48.0,1.2911262798634808,0.54,-0.82,19.2,-0.76,17.3,0,no change,2.0
6461,22.91,23.26,0.1,47.0,1.241467576791809,0.3299999999999999,-1.2,35.2,-1.09,29.9,1,cooler,5.0
6464,22.5,22.89,0.15,49.0,1.6387372013651875,0.25,-1.1,30.4,-1.17,33.9,1,no change,5.0
6465,22.82,22.93,0.1,48.0,1.1918088737201364,0.38,-1.12,31.5,-0.99,25.7,1,no change,5.0
6466,22.85,23.04,0.1,48.0,1.1918088737201364,0.39,-1.07,29.1,-0.94,23.6,0,warmer,4.0
6469,21.48,21.28,0.17,51.0,1.241467576791809,0.57,-1.23,36.6,-1.16,33.3,1,no change,5.0
6472,23.3,23.31,0.12,62.0,1.2911262798634808,0.29,-1.13,31.9,-1.05,28.1,1,no change,6.0
6476,23.54,23.82,0.15,61.0,1.390443686006826,0.25,-1.07,29.0,-1.04,28.0,1,cooler,5.0
6478,22.57,22.84,0.1,61.0,1.1918088737201364,0.37,-1.13,32.1,-1.0,26.3,1,no change,6.0
6479,22.85,23.09,0.15,59.0,1.1918088737201364,0.37,-1.23,36.7,-1.13,31.9,1,warmer,5.0
6481,22.57,22.87,0.13,60.0,1.241467576791809,0.4900000000000001,-0.89,21.6,-0.81,18.7,1,no change,5.0
