,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
94924,26.6,26.8,0.17,65.0,1.2,0.64,0.69,15.2,0.58,12.0,1,no change,5.0
94925,26.6,26.8,0.17,65.0,1.0,0.57,0.31,7.1,0.35,7.5,1,cooler,3.0
94926,26.6,25.3,0.12,64.0,1.6,0.55,0.7,15.3,0.43,8.9,1,no change,5.0
94927,26.6,25.3,0.12,64.0,1.2,0.61,0.52,10.7,0.49,10.1,1,no change,4.0
94931,26.4,26.0,0.1,64.0,3.0,0.39,1.85,69.4,0.58,12.0,1,cooler,4.0
94932,26.4,26.0,0.1,64.0,1.6,0.27,0.3,6.9,0.09,5.2,1,warmer,4.0
94937,25.9,25.9,0.23,67.0,1.2,0.47,0.04,5.0,-0.07,5.1,1,no change,4.0
94938,25.9,25.9,0.23,67.0,1.2,0.57,0.26,6.4,0.12,5.3,1,no change,4.0
94939,25.9,25.9,0.23,67.0,1.2,0.55,0.22,6.0,0.09,5.2,1,cooler,3.0
94940,25.9,25.9,0.23,67.0,1.2,0.7,0.5,10.3,0.35,7.5,1,no change,4.0
94941,25.9,25.9,0.23,67.0,1.0,0.66,0.11,5.3,0.08,5.1,0,cooler,3.0
94946,26.9,25.9,0.39,65.0,1.2,0.55,0.29,6.7,0.02,5.0,1,no change,4.0
94947,26.9,25.9,0.39,65.0,2.0,0.12,0.17,5.6,-0.57,11.7,1,cooler,3.0
94948,26.9,25.9,0.39,65.0,1.2,0.55,0.29,6.7,0.02,5.0,1,cooler,4.0
94949,26.9,25.9,0.39,65.0,1.0,0.5,-0.27,6.5,-0.36,7.7,1,no change,4.0
94950,26.9,25.9,0.39,65.0,1.0,0.59,-0.01,5.0,-0.15,5.5,1,no change,4.0
94951,26.9,25.9,0.39,65.0,1.0,0.51,-0.24,6.2,-0.33,7.3,1,cooler,2.0
94952,26.9,25.9,0.39,65.0,1.2,0.52,0.22,6.0,-0.04,5.0,1,cooler,3.0
94953,26.8,27.0,0.09,64.0,1.2,0.46,0.58,12.1,0.64,13.5,1,no change,4.0
94954,26.8,27.0,0.09,64.0,1.0,0.4,0.28,6.7,0.28,6.7,1,no change,3.0
94955,26.8,27.0,0.09,64.0,1.2,0.7,0.93,23.4,0.96,24.6,1,no change,3.0
94956,26.8,27.0,0.09,64.0,1.2,0.55,0.73,16.2,0.77,17.6,1,no change,4.0
94957,26.8,27.0,0.09,64.0,1.0,0.55,0.56,11.5,0.56,11.5,1,cooler,4.0
94958,26.8,27.0,0.09,64.0,1.2,0.42,0.51,10.5,0.58,11.9,0,no change,3.0
94959,26.8,27.0,0.09,64.0,1.2,0.36,0.4,8.4,0.48,9.7,1,no change,4.0
94960,26.8,27.0,0.09,64.0,1.2,0.55,0.73,16.2,0.77,17.6,1,cooler,4.0
94961,26.5,26.5,0.17,63.0,1.2,0.55,0.47,9.6,0.37,7.8,1,cooler,3.0
94962,26.5,26.5,0.17,63.0,1.2,0.61,0.58,12.0,0.46,9.5,1,no change,3.0
94964,26.5,26.5,0.17,63.0,1.0,0.58,0.25,6.3,0.28,6.7,1,cooler,4.0
