,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
1852,23.11,23.278172917854725,0.128,40.6,1.344501718213058,0.44,-0.8,18.5,-0.78,17.8,1,no change,5.0
1853,22.663333333333327,22.93337414453008,0.106,41.1,1.5979381443298968,0.44,-0.54,11.1,-0.64,13.5,1,no change,5.0
1854,22.6,22.82700194386865,0.07,41.150000000000006,1.2242268041237114,0.5,-0.82,19.0,-0.82,19.0,1,no change,5.0
1856,23.11666666666667,23.33750760771036,0.1256666666666666,41.010000000000005,1.2886597938144326,0.65,-0.39,8.2,-0.38,8.1,1,no change,5.0
1857,23.66,23.739440242766698,0.115,39.55,1.718213058419244,0.29,-0.51,10.5,-0.7,15.4,1,cooler,5.0
1858,24.53,24.204825590802088,0.2093333333333333,37.38,1.4175257731958757,0.65,-0.04,5.0,-0.21,5.9,1,cooler,5.0
1859,24.58333333333332,24.55938850584888,0.4306666666666668,35.06,1.344501718213058,0.4300000000000001,-0.86,20.5,-0.97,24.9,1,no change,6.0
1860,24.54,24.635733310472155,0.1006666666666667,35.830000000000005,1.4175257731958757,0.57,-0.01,5.0,-0.08,5.1,1,cooler,4.0
1862,22.30333333333332,22.933603035333,0.1423333333333333,39.31,1.628006872852234,0.55,-0.4,8.3,-0.55,11.4,1,no change,4.0
1864,24.336666666666662,24.360695121194684,0.3389999999999999,33.64,1.2027491408934703,0.6699999999999999,-0.48,9.7,-0.57,11.9,1,no change,3.0
1865,24.77666666666667,24.83033232626392,0.068,33.07,1.3745704467353954,0.31,-0.45,9.2,-0.39,8.2,0,cooler,1.0
1866,24.913333333333327,24.938956728847817,0.079,33.86,1.344501718213058,0.61,0.11,5.2,0.09,5.2,1,no change,4.0
1868,24.833333333333325,24.972598491054555,0.1153333333333333,31.8,1.2242268041237114,0.41,-0.52,10.7,-0.46,9.4,1,cooler,5.0
1869,24.863333333333323,24.877384021740987,0.0846666666666666,31.63,1.2027491408934703,0.29,-0.76,17.3,-0.61,12.7,0,warmer,3.0
1870,25.2,25.384462769333727,0.0723333333333333,34.84,1.3573883161512028,0.3399999999999999,-0.25,6.3,-0.21,5.9,1,cooler,4.0
1874,24.1,25.866558080628767,0.2383333333333334,55.400000000000006,1.38745704467354,0.4900000000000001,-0.23,6.1,-0.4,8.3,1,no change,5.0
1878,21.739999999999995,21.882412695959783,0.1633333333333333,45.650000000000006,1.38745704467354,0.6699999999999999,-0.64,13.6,-0.67,14.3,1,warmer,3.0
1881,23.236666666666668,24.78219278938548,0.1913333333333333,31.98,1.4304123711340206,0.38,-0.81,18.7,-0.89,21.5,1,no change,5.0
1882,23.743333333333325,24.39628507210877,0.1073333333333333,32.17,1.2671821305841924,0.54,-0.43,8.9,-0.39,8.2,1,no change,5.0
1885,23.246666666666663,23.943169435454973,0.1183333333333333,33.050000000000004,1.5979381443298968,0.36,-0.58,12.0,-0.7,15.4,1,no change,2.0
1886,23.436666666666667,24.13790457093247,0.0773333333333333,32.010000000000005,1.2457044673539517,0.37,-0.85,20.3,-0.72,16.0,1,cooler,4.0
1887,22.256666666666664,23.020898035109912,0.1753333333333333,37.25,1.5592783505154637,0.53,-0.58,12.0,-0.7,15.4,1,no change,6.0
1889,23.023333333333326,23.555406974851863,0.1393333333333333,35.620000000000005,1.718213058419244,0.57,-0.1,5.2,-0.33,7.3,1,cooler,5.0
1892,23.77333333333332,24.839095875518144,0.1146666666666666,31.170000000000005,1.0738831615120277,0.45,-0.85,20.4,-0.85,20.4,1,no change,6.0
1894,24.646666666666665,25.2264642468254,0.166,31.81,1.344501718213058,0.46,-0.35,7.5,-0.42,8.7,1,cooler,5.0
1895,25.25666666666667,25.771570970312,0.1506666666666667,30.82,1.2027491408934703,0.3399999999999999,-0.62,13.2,-0.57,11.9,0,cooler,3.0
1897,25.76333333333332,26.535930438615708,0.154,29.86,1.3573883161512028,0.37,-0.13,5.3,-0.24,6.2,1,cooler,3.0
1898,26.73,27.16640050072987,0.1313333333333333,28.94,1.138316151202749,0.48,0.19,5.8,0.2,5.8,1,cooler,3.0
1899,26.18,26.73307045036891,0.15,29.37,1.2671821305841924,0.51,0.15,5.4,0.04,5.0,0,cooler,3.0
1900,25.53,25.86162658184241,0.1486666666666667,26.34,1.365979381443299,0.32,-0.38,8.0,-0.46,9.4,1,cooler,6.0
1901,24.72666666666667,25.77986323789986,0.2086666666666667,29.68,1.3745704467353954,0.4,-0.45,9.2,-0.57,11.9,1,cooler,4.0
1902,24.25,24.93371886687929,0.1406666666666666,32.190000000000005,1.5463917525773192,0.57,0.03,5.0,-0.16,5.5,1,cooler,3.0
1903,23.63666666666667,24.231594084544287,0.1683333333333333,32.17,1.5163230240549828,0.56,-0.22,6.0,-0.38,8.1,1,no change,5.0
1904,23.05333333333332,23.269954769618632,0.2686666666666667,36.690000000000005,1.718213058419244,0.45,-0.5,10.3,-0.76,17.1,1,no change,6.0
1905,22.333333333333325,23.6262881152811,0.147,34.06,1.6580756013745703,0.44,-0.56,11.6,-0.73,16.2,1,no change,4.0
1906,22.916666666666668,23.810268472455,0.1476666666666667,34.80000000000001,1.718213058419244,0.37,-0.53,10.8,-0.74,16.4,0,cooler,5.0
1907,24.03333333333332,24.53500703524154,0.2513333333333333,33.95,1.5077319587628863,0.51,-0.32,7.2,-0.53,10.8,1,no change,5.0
1908,25.26666666666667,25.834023905016544,0.2506666666666667,31.18,1.5163230240549828,0.37,-0.25,6.3,-0.51,10.4,0,cooler,4.0
1909,24.95,25.44129260430244,0.2143333333333334,32.910000000000004,1.628006872852234,0.48,0.06,5.1,-0.25,6.3,1,no change,5.0
1910,24.98333333333332,25.30804103455301,0.1903333333333333,29.57,1.2457044673539517,0.36,-0.73,16.2,-0.73,16.2,1,cooler,5.0
1911,25.35666666666667,25.66514261294584,0.1823333333333333,28.56,1.344501718213058,0.42,-0.29,6.7,-0.4,8.3,1,cooler,3.0
1912,26.27666666666667,26.67395013491762,0.1193333333333333,28.510000000000005,1.2027491408934703,0.52,0.15,5.5,0.14,5.4,0,cooler,2.0
1913,24.646666666666665,25.51220721282065,0.224,33.80000000000001,1.38745704467354,0.63,0.01,5.0,-0.18,5.6,1,cooler,3.0
1914,23.94666666666667,24.43758548966941,0.1443333333333333,31.88,1.3745704467353954,0.42,-0.59,12.3,-0.63,13.3,1,no change,5.0
1915,24.993333333333325,25.196404004040424,0.1146666666666666,30.59,1.5678694158075597,0.45,0.03,5.0,-0.16,5.5,1,cooler,3.0
1916,25.236666666666668,25.41657429555975,0.1506666666666666,29.87,1.365979381443299,0.51,-0.07,5.1,-0.19,5.7,1,no change,3.0
1917,24.79,25.123454694298065,0.1406666666666666,29.95,1.4175257731958757,0.6699999999999999,0.16,5.5,0.02,5.0,1,no change,5.0
1918,23.72,24.563689698975885,0.126,31.5,1.3745704467353954,0.35,-0.76,17.0,-0.76,17.2,1,cooler,5.0
1919,24.25,24.822857325464216,0.1723333333333333,28.8,1.5163230240549828,0.4,-0.41,8.4,-0.57,11.7,1,no change,6.0
1920,24.123333333333324,24.946828879427297,0.187,29.44,1.4175257731958757,0.37,-0.65,13.9,-0.74,16.7,1,no change,6.0
1921,22.98333333333332,24.42781150713,0.2986666666666668,32.53,1.1168384879725086,0.91,-0.28,6.6,-0.35,7.6,1,warmer,3.0
1922,24.01666666666667,24.50996356539856,0.1026666666666666,30.93,1.1168384879725086,0.52,-0.56,11.6,-0.43,8.8,1,no change,5.0
1924,23.60666666666667,24.00368121115309,0.19,32.190000000000005,1.5463917525773192,0.61,-0.15,5.5,-0.34,7.4,1,cooler,5.0
1925,24.6,24.95999978701415,0.171,30.73,1.2242268041237114,0.3399999999999999,-0.91,22.6,-0.86,20.8,0,cooler,3.0
1926,23.20333333333332,23.61479243795331,0.1676666666666666,32.93,1.5163230240549828,0.3399999999999999,-0.88,21.3,-0.96,24.3,1,no change,3.0
1927,24.57,25.21010878876633,0.0586666666666666,29.11,1.2371134020618555,0.32,-0.56,11.6,-0.56,11.6,1,warmer,3.0
1928,24.75333333333332,25.139053209919425,0.1436666666666666,29.71,1.6881443298969077,0.52,0.18,5.7,-0.11,5.2,1,no change,5.0
